year,hopkinton_temp,boston_temp,wind,sky
2000,50,47,N/NE 7–12 mph,Cloudy
2001,53,54,N/NE 1–5 mph,Partly Cloudy
2002,53,56,N/NE 1–5 mph,Mostly Cloudy
2003,70,59,Variable 3–8 mph,Clear
2004,83,86,WSW/SW/W 8–11 mph,
2005,70,66,E/NE 5–8 mph,Clear
2006,55,53,Calm,Clear
2007,47,50,E/ESE 20–30 mph,Overcast and Rain
2008,53,53,W 2 mph,Clear
2009,51,47,E/SE 9–16 mph,Partly Cloudy
2010,49,55,E/NE 2–5 mph,Partly Cloudy
2011,46,55,W/SW 16–20 mph,Clear
2012,65,87,W/SW 10–20 mph,Clear
2013,56,54,E 3mph,Clear
2014,61,62,WSW 2–3 mph,Clear
2015,46,46,Calm,Overcast and Rain
2016,71,61,WSW 2-3 mph,Clear
2017,70,73,WSW1-3 mph,Clear
2018,42,46,ENE 2-5 mph,Heavy Rain
2019,58,61,WNW 1-2 mph,"Overcast, Partly Rain"
